label,id,text
1,1,Are you saying kill the chicken by shooting it? Rather then just choking the chicken
1,2,It's usually easier to take the immoral path. Stealing's easier than working. Lying's easier than telling the truth. Being a deadbeat parent is easier than being a good parent. The list goes on and on.
1,3,"Archie proves, for the umpteenth time, that he is utterly incapable of reading for comprehension.
Oh, and stop with the ""Obama is the antichrist"" rhetoric. You're embarassing yourself even more than usual."
0,4,"Are you saying that without emotional investment in not believing in evolution, evolution makes sense?"
0,5,"So you're saying that the theory of evolution is similar to ####, in that they both make large messes when they come into contact with fans?"
1,6,"I just bet you thought you were smart just now? I'll go you several... 
How about:
1. Murder
2. Stealing
3. Adultery
4. Rape
Almost every culture since the dawn of civilization has put to death those who have trespassed those basics. But I guess you didn't get that on the Recovery Channel huh? Your idiocy is profound only as your ignorance."
0,7,Actually I didn't even read it (and doubt I ever will). Don't get all worked up over it.
1,8,"I can't believe you think saying ""puff piece"" is an intelligent criticism.
Oh wait. You aren't interested in intelligent criticism.
You're just looking for an excuse to dismiss...
"
0,9,"So much wrong with that sentence (and I'm ignoring the grammar emoticonXRolleyes)Rights have very little to do with what one perceives to be their (or society in general) moral obligations. Rights are concepts that focus on the actions of government and in the case of the US Constitution, usually represent exceptions of powers never granted to the government. In other words, they are redundant prohibitions (a fact which was a primary argument against adding a bill of rights to the constitution).And most egregious of all, liberty is not provided to you. Liberty is retained by citizens by not conferring to government every speck of sovereignty and self determination."
0,10,"(My evidence does not require this quote, it's for comparison only)The theory of evolution is based on evidence, the existence of god, is not..Reason cannot be applied to it. Furthermore, since evolution relies on reason, faith cannot be applied to it. To attempt to label science as a faith is a contradiction. I know it irks you that your faith cannot be proven, but that's the definition of faith!! It wouldn't be faith without it. As Montalban says in a contradiction of motives: His particular faith does not rest on the foundations of [reason]. Why then look for support from reason?"
0,11,That's obviously not what is said. The sun's energy is not claimed to be a mechanism that makes order of disorder. What it does do is override the tendancy within the 2LoTD where total usable energy in a system decreases.
1,12,"So if it can be operated by means other than human control, are you saying a dog can operate it, maybe a monkey, thats something we see everyday. You are trying to split hairs Penfold, for a gun to be fired weather robotically, or training a primate to fire one still requires human intervention, so stop acting stupid because you are not stupid."
0,13,"Iangb, I would have thought that you would be intellectually honest enough to have (at least) accepted the fact that I have supported my claims. I also thought that (by now) someone from your side of the abortion issue would step in (in this thread or by private message) and hold you to your claims of being 'intellectually honest.' At this point, I actually have you questioning Planned Parenthood's definitions? QUOTE; "
1,14,"So you for strict regulation of business but not people? Interesting...do you know who runs businesses? Yeah, people."
0,15,"Maybe Massachusetts should allow for divorces via notarized mail by non-residents or whatever else is needed to make it easier to do so remotely and more timely, if someone has a serious need to get a legal divorce for such a marriage that only exists somewhere else. What interest would a state that doesn't recognize gay marriage in the first place have in allowing gay divorce?"
1,16,"Again, I know what a parable is.
I do appreciate your condescension, though.
"
0,17,"The liberal spin that back street abortions ran amuck prior to Roe V Wade is simply not true..............It does seem nowadays you read in the paper every week about some woman stuffing her newborn in a trash can......   There are many more abortions today then there were prior to Roe V Wade.......Over 40,000,000 million since 1972....sad........."
1,18,"Unless its something he doesn't like, in which case the devil did it..."
0,19,"And Atilla's army of as many as 1/2 million men was beaten and forced into retreat by the Romans and Visigoths in 451AD. A year later, he was forced to make peace after devastating the Roman countryside...but NOT Rome itself.He died a year later in 453AD."
0,20,"State courts can rule based on state and/or federal law. In this case, the answer was found in the state constitution, so the judge did not need to pursue the issue further.Also, a state constitution can offer more protection that the federal one, as long as, in so doing, it does not contradict the federal constitution."
1,21,In the thousands of scientific papers that present the thousands of bits of evidence that go to prove evolution beyond all sensible sane and reasonable doubt.
1,22,"Kicking the retard ( you) was not in the literal sense but you would not understand that being a retardemoticonXClown
Or was you just pretending?"
1,23,"If you support Bush, you're most likely not conservative. I doubt you even understand the origin of the world liberal. 
"
1,24,"Another red herring gay argument. Ever hear of a medical power of attorney? You don't need marriage to have one, you know. emoticonXRolleyes 
"
1,25,"Oh, right. And what would yours be? ""We the humble people of the human species have decided to break away from Britan rule and form our own bubble community. No one has any rights whatsoever, and we restrict our citizens to living in bubbles because we cherish each life, from skin cells to bacteria to plants to embryos. In fact, we really have no purpose in life, we just life to not kill other lives."
0,26,"What's your point? Of course they will be bound by Heller just as the courts are bound by Roe v. Wade. That point wasn't in dispute. As long as you're talking about 19th Century Second Amendment case law, I like The State v. Buzzard (1842)."
0,27,Marriage is a secular condition set up by various Societies over the millenia and one of the prerequisites set out is that such a union should be between people of different genders.Religion has supported this and sanctified it but did not invent it.You don't curse the Church you lobby Society to see if you can effect a change. People who believe the different gender aspect are entitled to lobby for no change.
1,28,"Sweetums, get over yourself. We do get along with theists. Just not homophobic theists
"
0,29,"Cost would certainly be an issue. If the adoptive parents were willing to take on that cost, that would be best. I wonder, though, how much demand there really is out there for adopted babies. As I understand the situation, currently there are far more parents looking to adopt than there are new babies up for adoption. However, if such an artificial womb would exist, then that may not be the case any longer. Would the mother then have to be responsible? Not that easy a case to ponder since that would be a case of performing abortion not purely out of a sense of a woman's right over her own body (since transfer would be an option) but out of purely financial, practical reasons."
1,30,"As I have pointed out, the only BS here is your accusations."
1,31,"Wow, what a group of rude, self important, pompous, pseudo intellectuals who will insult and personally attack a person for one grammatical error. I meant to say the UNIVERSE has aged from 4 to 14 billion years old since I was in school but rather than deduce that you call me dumb and ignorant ? With all of your so called intelligence can you prove the Universe is now precisely 14 billion years old ? Can you prove Neanderthal Man was a human descendant ? because DNA tests dont prove that out and yet PHDs and Masters Degreed scientists insist they are. That's why the bible say's that the wisdom of this World is foolishness to God."
1,32,You're awfully obcessed with others' foreskin or lack thereof. I think Freud would say that you are suffering from circumsized penis envy. ;)
1,33,"You're FANTASTIC at being a bigot.
Not too bad at being an idiot either.
Goooooood job, buddy. A great way to go through life. emoticonXBouncer"
0,34,"Form 4473, question 11a reads as follows:11.a. Are you the actual buyer of the firearm(s) listed on this form? Warning: You are no the actual buyer if you are acquiring the firearm(s) on behalf of another person. If you are not the actual buyer, the dealer cannot transfer the firearm(s) to you.Sarah Brady lied on the background check form, she bought the gun on behalf of her son and supplied it to him, thus ensuring that he wouldn't have to worry about the NICS check red flagging him. By gun control standards she's guilty of a straw purchase and should've been sentenced to ten years without parole in a federal prison."
1,35,"Hey - you're the one who condones sinful, illicit gay-sex sodomy, which God himself calls a perversion, so you're the one who is spiritually and historically challenged. You're right in step with Satan, though, so you can really feel proud of that. LOL!
Romans 1:26-27"
1,36,"If we were to debate whether God made us perfect as he could have, then of course we can make the point that he obviously doesn't exist."
1,37,"1) It's on Jupiter.
2) It's on some planet we haven't discovered yet.
3) It's in Hawaii.
How do I know this?
Divination
Obstinance
Guesswork
Madness
Absolutism"
1,38," as their having guns doesn't serve the state.\""--Heinrich HimmlerFor pledging their support of Nazi ideals  we proudly award \""Yes\"" the Medal of Holocaust and Genocide. Congratulations  you're now a supporter of Hitler."" and you win the PINK PANTIES award!I got news for you PUNK - my family fled the Nazi's on foot in WWII "
1,39,"More bible blather. Facts please!!!!!!!! This is where you can't comprehend. Just because you interpret a bunch of ancient writings in a certain way doesn't make it so. Perhaps you better make another phone call to god for some explanation.
"
0,40,"Well let me put it like this, I consider it your duty because if you don't protect yourself then you basically shift that responsibility to someone else. Not only is this incredibly selfish, but 9 out of 10 times the 'protection business' gets outsourced to the State.This in itself it dangerous because when people decide that a third party like the State (which has no real accountability) has control over their lives it can all to easily lead to a situation where the State becomes tyrannical.More people have been killed by their own government than by any foreign government."
0,41,"If that is a human being, then is my kidney a human being too?"
1,42,"Could you be so kind as to point out the holes, please? Or are you going to dance around some more?"
0,43,I see no reason why secular shows should be required to mention your mythology.
1,44,"The concealed handgun liscense is irrevelant to the point that all states allow their residents to have guns in one way or another, but are the gun grabbers really dense enough to think that a maniac wont go on a killing spree unless he/she can get a concealed handgun licsense first? Does this maniac think to himself "" I hope I can get that licsense so I can kill a bunch of people""."
0,45,Because there are no dinosaur fossils above the iridium layer.
