id,sarcastic
1,"Oh great, another meeting! My life is complete now."
2,"Wow, this traffic jam is *just* what I needed to start my day."
3,"Sure, giving me extra work at 5 PM is such a *brilliant* idea."
4,"Fantastic, my laptop decided to update in the middle of my presentation!"
5,Your cooking is so good it belongs on a disaster menu.
6,"Oh, you crashed the car? You're the best driver ever!"
7,"Wow, spending the weekend cleaning is exactly what I dream of!"
8,"Oh, you forgot my birthday? That's so thoughtful of you."
9,Another sunny day in paradise... when it's raining again.
10,"Oh, you're late again? What a surprise!"
11,"Great, another email about the same issue."
12,"Oh, your jokes are so funny I forgot to laugh."
13,"Wow, I just love it when my phone battery dies at 50%."
14,"Fantastic, now I have to redo the whole project!"
15,"Oh, another telemarketer call! I feel so special."
16,"Sure, eating burnt toast is my favorite breakfast."
17,"Wow, I can't wait to spend 3 hours in line!"
18,"Oh, another software update? Just what I wanted!"
19,"Great, the internet is down again during my meeting."
20,"Sure, I just *love* cleaning up after everyone."
21,"Oh, I love it when the vending machine eats my money!"
22,"Wow, you're such a genius for locking yourself out again."
23,"Oh great, my coffee spilled all over my papers. Perfect start to the day."
24,"Sure, missing the bus is exactly what I needed today."
25,"Wow, I just adore waiting on hold for 45 minutes."
26,"Oh, it's so fun when my phone restarts on its own."
27,"Great, another power outage during dinner!"
28,"Oh, thanks for not doing your part of the group project. Really helpful."
29,"Sure, I *love* it when it rains right after I wash my car."
30,"Wow, another spam email! Just what I needed."
31,"Oh great, the printer is out of ink again."
32,"Sure, my favorite thing is finding out my flight is delayed."
33,"Oh, it's fantastic when my favorite show is canceled."
34,"Wow, a flat tire on my way to work! Wonderful!"
35,"Oh great, I accidentally sent the email to the wrong person."
36,"Sure, I love paying extra for something I didn't need."
37,"Oh, you're ignoring me again? How considerate."
38,"Wow, burning my dinner is exactly what I wanted tonight."
39,"Sure, staying late at work again is such a treat."
40,"Oh, another Monday morning meeting. Yay!"
41,"Great, the elevator is broken, and I live on the 10th floor."
42,"Oh fantastic, my package arrived two weeks late."
43,"Sure, I adore when people talk during the movie."
44,"Wow, what a brilliant idea to park in front of my driveway."
45,"Oh, another amazing day of doing laundry. So exciting."
46,"Sure, I just love stepping on a Lego in the dark."
47,"Oh great, the store is out of the one thing I came for."
48,"Wow, another rainy day during my vacation. Perfect!"
49,"Sure, I enjoy getting a parking ticket for no reason."
50,"Oh, another software crash. My workday is complete."
51,"Wow, my phone died right when I needed directions. Awesome!"
52,"Sure, forgetting my umbrella during a storm is wonderful."
53,"Oh, another inspiring lecture at 8 AM. Can't wait."
54,"Great, my favorite restaurant is closed today."
55,"Sure, I love when my internet slows down during a meeting."
56,"Oh, losing my keys again. I'm such a genius!"
57,"Wow, another night of no sleep thanks to the noisy neighbors."
58,"Oh fantastic, my app update removed all my saved data."
59,"Sure, I enjoy having to call tech support again."
60,"Oh great, my alarm didn't go off this morning."
61,"Wow, another rejection email. I'm thrilled."
62,"Oh, the power went out while I was cooking dinner. Lovely."
63,"Sure, I just *love* cleaning up after your mess."
64,"Oh great, my headphones broke just before my trip."
65,"Wow, my phone's autocorrect changed my email again. Perfect!"
66,"Sure, waiting 30 minutes for the bus is delightful."
67,"Oh fantastic, another cold shower this morning."
68,"Wow, my credit card was declined in front of everyone. Wonderful."
69,"Oh great, another meeting that could have been an email."
70,"Wow, because I've got nothing better to do than clean up your mess."
71,"Oh sure, I love standing in long lines for no reason."
72,"Wow, what a perfect day for a power outage."
73,"Oh joy, more traffic during rush hour!"
74,"Fantastic, my phone died just when I needed it most."
75,"Oh sure, because who needs sleep anyway?"
